source_id,target_id,source_names,target_names
1965:0,2055:0,halfdoor_block_0,halfdoor_block_0
1966:0,2056:0,halfdoor_block_1,halfdoor_block_1
1967:0,2090:0,halfdoor_block_2,halfdoor_block_2
1968:0,2145:0,halfdoor_block_3,halfdoor_block_3
1969:0,2146:0,halfdoor_block_4,halfdoor_block_4
1973:0,2019:0,ladder_block_0,ladder_block_0
1974:0,2160:0,ladder_block_1,ladder_block_1
1975:0,2081:0,bed_block_0,bed_block_0
1976:0,2082:0,bed_block_1,bed_block_1
1977:0,2083:0,bed_block_2,bed_block_2
1978:0,2084:0,bed_block_3,bed_block_3
1979:0,2085:0,bed_block_4,bed_block_4
1980:0,2086:0,bed_block_5,bed_block_5
1981:0,2087:0,bed_block_6,bed_block_6
1982:0,2088:0,bed_block_7,bed_block_7
1983:0,2089:0,bed_block_8,bed_block_8
1984:0,2070:0,banner_block_0,banner_block_0
1985:0,2094:0,banner_block_1,banner_block_1
1986:0,2095:0,banner_block_2,banner_block_2
1987:0,2096:0,banner_block_3,banner_block_3
1988:0,2097:0,banner_block_4,banner_block_4
1989:0,2098:0,banner_block_5,banner_block_5
1990:0,2099:0,banner_block_6,banner_block_6
1991:0,2100:0,banner_block_7,banner_block_7
1992:0,2101:0,banner_block_8,banner_block_8
1993:0,2102:0,banner_block_9,banner_block_9
1994:0,2103:0,banner_block_10,banner_block_10
1995:0,2104:0,banner_block_11,banner_block_11
1996:0,2105:0,banner_block_12,banner_block_12
1997:0,2106:0,banner_block_13,banner_block_13
1998:0,2183:0,banner_block_14,banner_block_14
1999:0,4008:0,banner_block_15,banner_block_15
2000:0,4009:0,banner_block_16,banner_block_16
2001:0,4010:0,banner_block_17,banner_block_17
2002:0,4011:0,banner_block_18,banner_block_18
2003:0,4012:0,banner_block_19,banner_block_19
2004:0,4013:0,banner_block_20,banner_block_20
2005:0,4014:0,banner_block_21,banner_block_21
2006:0,4015:0,banner_block_22,banner_block_22
2007:0,4016:0,banner_block_23,banner_block_23
2008:0,4017:0,banner_block_24,banner_block_24
2009:0,4018:0,banner_block_25,banner_block_25
2019:0,2005:0,yellow_flower_block_0,yellow_flower_block_0
2020:0,2006:0,yellow_flower_block_1,yellow_flower_block_1
2021:0,2059:0,red_flower_block_0,red_flower_block_0
2022:0,2060:0,red_flower_block_1,red_flower_block_1
2023:0,2061:0,brown_mushroom_block_0,brown_mushroom_block_0
2024:0,2062:0,red_mushroom_block_0,red_mushroom_block_0
2028:0,2063:0,unshaded_grass_block_0,unshaded_grass_block_0
2029:0,2156:0,dead_bush_block_0,dead_bush_block_0
2030:0,2205:0,forest_block_0,forest_block_0
2032:0,2182:0,crop_block_1,crop_block_1
2033:0,2132:0,furnace_block_0,furnace_block_0
2034:0,2133:0,furnace_block_1,furnace_block_1
2035:0,2134:0,furnace_block_2,furnace_block_2
2036:0,2167:0,furnace_block_3,furnace_block_3
2037:0,2067:0,hopper_block_0,hopper_block_0
2038:0,2068:0,hopper_block_1,hopper_block_1
2039:0,2154:0,hopper_block_2,hopper_block_2
2043:0,2080:0,rail_block_0,rail_block_0
2044:0,2125:0,rail_block_1,rail_block_1
2045:0,2091:0,rope_block_1,rope_block_1
2046:0,2119:0,rope_block_2,rope_block_2
2047:0,2018:0,crate_block_0,crate_block_0
2048:0,2168:0,crate_block_1,crate_block_1
2050:0,2053:0,web_block_0,web_block_0
2051:0,2155:0,web_block_1,web_block_1
2052:0,2175:0,web_block_2,web_block_2
2053:0,2187:0,translucent_web_block_0,translucent_web_block_0
2054:0,2192:0,translucent_web_block_1,translucent_web_block_1
2055:0,2057:0,glasspane_net,glasspane_net
2056:0,2188:0,stained_glass_0,stained_glass_0
2057:0,2189:0,stained_glass_pane_0,stained_glass_pane_0
2058:0,2144:0,dornish_pane_0,dornish_pane_0
2059:0,2185:0,translucent_wall_block_0,translucent_wall_block_0
2060:0,2186:0,translucent_fence_block_0,translucent_fence_block_0
2061:0,2136:0,wool_slab_block_0,wool_slab_block_0
2062:0,2138:0,wool_slab_block_1,wool_slab_block_1
2064:0,2014:0,torch_block_0,torch_block_0
2065:0,2032:0,light_emitting_blocks_0,light_emitting_blocks_0
2066:0,2121:0,fire_block_0,fire_block_0
2067:0,2028:0,bookshelves_block_0,bookshelves_block_0
2068:0,2023:0,bench_block_0,bench_block_0
2069:0,2024:0,arrow_slits_0,arrow_slits; arrow_slits_0
2070:0,2162:0,arrow_slits_1,arrow_slits_1
2073:0,2031:0,daub_wattle_block_0,daub_wattle_block_0
2075:0,2073:0,thatch_stair_0,thatch_stair_0
2076:0,2074:0,thatch_stair_1,thatch_stair_1
2077:0,2092:0,orange_brick_stair_0,orange_brick_stair_0
2078:0,2113:0,snow_stairs,snow_stairs
2079:0,2117:0,bedrock_stairs,bedrock_stairs
2080:0,2118:0,cobble_dark_stairs,cobble_dark_stairs
2097:0,2158:0,utility_block_0,utility_block_0
2098:0,2072:0,sound_blocks_0,sound_blocks_0
2099:0,2172:0,sound_blocks_1,sound_blocks_1
2100:0,2173:0,sound_blocks_2,sound_blocks_2
2101:0,2174:0,sound_blocks_3,sound_blocks_3
2280:0,490:0,copper_ore,Copper Ore
2281:0,491:0,copper_block,Copper Block
2288:0,492:0,tin_ore,Tin Ore
2289:0,493:0,tin_block,Tin Block
2290:0,566:0,illumenite_ore,Illumenite Ore
2291:0,567:0,illumenite_block,Illumenite Block
2292:0,570:0,argonite_ore,Argonite Ore
2293:0,571:0,argonite_block,Argonite Block
2294:0,560:0,fyrite_ore,Fyrite Ore
2295:0,561:0,fyrite_block,Fyrite Block
2296:0,562:0,malachite_ore,Malachite Ore
2297:0,563:0,malachite_block,Malachite Block
2298:0,568:0,dragonstone_ore,Dragonstone Ore
2299:0,569:0,dragonstone_block,Dragonstone Block
2300:0,564:0,ashstone_ore,Ashstone Ore
2301:0,565:0,ashstone_block,Ashstone Block
3801:0,1622:0,pot,Pot
